mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
144	144	1/4	1/4	3/4	2	1	iv(+#4)						e	i		iv(+#4)		iv			+#4				m	1	1	3, 0, 4	9	3.0	3.0	0	5	0.0	0.0	0.875	0.0
144	144	1/2	1/2	3/4	2	1	IV						e	i		IV		IV							M	1	1	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.625	0.0
145	145	0	0	3/4	2	1	i6(#7)						e	i		i6(#7)		i		6	#7				m	1	1	1, 5, 9		4.0	1.0	4	8	0.3333333333333333	1.0	2.0	0.3333333333333333
146	146	1/4	1/4	3/4	2	1	i6(#6)						e	i		i6(#6)		i		6	#6				m	1	1	1, 5, 4	7	4.0	1.0	1	4	0.2	0.0	0.875	0.0
146	146	1/2	1/2	3/4	2	1	i6						e	i		i6		i		6					m	1	1	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.625	0.0
147	147	0	0	3/4	2	1	V43(#9)						e	i		V43(#9)		V		43	#9				Mm7	1	1	6, 3, 5, 9	7	5.0	6.0	2	19	0.09523809523809523	0.25	4.25	0.05555555555555555
149	149	0	0	3/4	2	1	i|IAC}						e	i		i		i					IAC	}	m	1	1	4, 1, 5		4.0	4.0	0	14	0.0	0.0	4.25	0.0
151	151	0	0	3/4	2	1	iv/v{						e	i		iv/v		iv				v		{	m	1	1	4, 1, 5		4.0	4.0	0	11	0.0	0.0	3.0	0.0
152	152	1/4	1/4	3/4	2	1	iv(+#4)/v						e	i		iv(+#4)/v		iv			+#4	v			m	1	1	4, 1, 5	10	4.0	4.0	0	5	0.0	0.0	0.875	0.0
152	152	1/2	1/2	3/4	2	1	IV/v						e	i		IV/v		IV				v			M	1	1	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.625	0.0
153	153	0	0	3/4	2	1	i6(#7)/v						e	i		i6(#7)/v		i		6	#7	v			m	1	1	2, 6, 10		5.0	2.0	4	8	0.3333333333333333	1.0	2.0	0.3333333333333333
154	154	1/4	1/4	3/4	2	1	i6/v						e	i		i6/v		i		6		v			m	1	1	2, 6, 5		5.0	2.0	3	5	0.375	0.375	1.125	0.25
155	155	0	0	3/4	2	1	V43(#9)/V						e	i		V43(#9)/V		V		43	#9	V			Mm7	1	1	7, 4, 6, 10	15	6.0	7.0	6	15	0.2857142857142857	1.125	3.375	0.25
157	157	0	0	3/4	2	1	I/V|HC}						e	i		I/V		I				V	HC	}	M	1	1	5, 9, 6		5.0	5.0	0	14	0.0	0.0	4.5	0.0
159	159	0	0	3/4	2	1	ii%43{						e	i		ii%43		ii	%	43				{	%7	1	1	0, 4, 6, 3		6.0	0.0	5	15	0.25	0.625	3.625	0.14705882352941177
161	161	1/4	1/4	3/4	2	1	V(13)						e	i		V(13)		V			13				M	1	1	5, 9, 6	1	5.0	5.0	0	13	0.0	0.0	3.0	0.0
162	162	1/2	1/2	3/4	2	1	V						e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.75	0.0
163	163	0	0	3/4	2	1	ii%43						e	i		ii%43		ii	%	43					%7	1	1	0, 4, 6, 3		6.0	0.0	5	15	0.25	0.625	3.625	0.14705882352941177
165	165	1/4	1/4	3/4	2	1	V(13)						e	i		V(13)		V			13				M	1	1	5, 9, 6	1	5.0	5.0	0	13	0.0	0.0	3.0	0.0
166	166	1/2	1/2	3/4	2	1	V						e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.75	0.0
167	167	0	0	3/4	2	1	ii64						e	i		ii64		ii		64					m	1	1	7, 6, 3		6.0	7.0	3	3	0.5	0.5	0.5	0.5
167	167	1/2	1/2	3/4	2	1	V7/V	-1.97642	4.10813		/	Fr6	e	i		V7/V		V		7		V			Mm7	1	1	6, 10, 7, 4		6.0	6.0	0	4	0.0	0.0	0.75	0.0
168	168	0	0	3/4	2	1	V	0.456096	3.9561		/		e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	2	8	0.2	0.25	1.5	0.14285714285714285
