mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
106	106	317	317	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	-3	87	Eb6	6	572
106	106	317	317	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	6	90	F#6	6	572
107	107	318	318	1.0	0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	579
107	107	318	318	1.0	0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	579
107	107	318	318	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	6	78	F#5	5	576
107	107	318	318	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	0	84	C6	6	576
107	107	318	318	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	-3	87	Eb6	6	576
107	107	318	318	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	6	90	F#6	6	576
107	107	319	319	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	580
107	107	319	319	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66	F#4	4	580
107	107	319	319	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		6	78	F#5	5	577
107	107	319	319	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		-2	82	Bb5	5	577
107	107	319	319	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		2	86	D6	6	577
107	107	319	319	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		6	90	F#6	6	577
107	107	320	320	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	581
107	107	320	320	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	72	C5	5	581
107	107	641/2	641/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		6	78	F#5	5	578
107	107	641/2	641/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		3	81	A5	5	578
107	107	641/2	641/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	84	C6	6	578
107	107	641/2	641/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		6	90	F#6	6	578
108	108	321	321	1.0	0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	584
108	108	321	321	1.0	0	0	3/4	2	1	1/4		1/4	1		1	67	G4	4	584
108	108	321	321	2.0	0	0	3/4	1	1	1/2		1/2	1		1	79	G5	5	582
108	108	321	321	2.0	0	0	3/4	1	1	1/2		1/2	1		0	84	C6	6	582
108	108	321	321	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	87	Eb6	6	582
108	108	321	321	2.0	0	0	3/4	1	1	1/2		1/2	1		1	91	G6	6	582
108	108	322	322	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	585
108	108	322	322	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	585
108	108	323	323	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	586
108	108	323	323	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	74	D5	5	586
108	108	323	323	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	1	79	G5	5	583
108	108	323	323	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	-2	82	Bb5	5	583
108	108	323	323	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	2	86	D6	6	583
108	108	323	323	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	1	91	G6	6	583
109	109	324	324	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	588
109	109	324	324	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	1	79	G5	5	587
109	109	324	324	1.0	0	0	3/4	2	1	1/4		1/4	1		1	79	G5	5	588
109	109	324	324	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	-2	82	Bb5	5	587
109	109	324	324	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	2	86	D6	6	587
109	109	324	324	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	1	91	G6	6	587
110	110	327	327	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-3	39	Eb2	2	593
110	110	327	327	2.0	0	0	3/4	2	1	1/2		1/2	1		0	48	C3	3	591
110	110	328	328	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	55	G3	3	589
110	110	328	328	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-3	63	Eb4	4	589
110	110	329	329	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	-2	46	Bb2	2	592
110	110	329	329	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	58	Bb3	3	590
110	110	329	329	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	590
111	111	330	330	3.0	0	0	3/4	2	2	3/4		1/2	3/2	-1	-3	39	Eb2	2	599
111	111	330	330	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	-2	46	Bb2	2	594
111	111	331	331	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		0	48	C3	3	595
111	111	663/2	663/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		2	50	D3	3	596
111	111	332	332	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	C3	3	597
111	111	665/2	665/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	46	Bb2	2	598
112	112	333	333	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-3	39	Eb2	2	604
112	112	333	333	2.0	0	0	3/4	2	1	1/2		1/2	1		0	48	C3	3	602
112	112	334	334	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	55	G3	3	600
112	112	334	334	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-3	63	Eb4	4	600
112	112	335	335	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	-2	46	Bb2	2	603
112	112	335	335	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	58	Bb3	3	601
112	112	335	335	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	601
113	113	336	336	3.0	0	0	3/4	2	2	3/4		1/2	3/2	-1	-3	39	Eb2	2	610
113	113	336	336	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	-2	46	Bb2	2	605
113	113	337	337	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		0	48	C3	3	606
113	113	675/2	675/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		2	50	D3	3	607
113	113	338	338	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	C3	3	608
113	113	677/2	677/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	46	Bb2	2	609
114	114	339	339	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-3	39	Eb2	2	615
114	114	339	339	2.0	0	0	3/4	2	1	1/2		1/2	1		0	48	C3	3	613
114	114	340	340	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	55	G3	3	611
114	114	340	340	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-3	63	Eb4	4	611
114	114	341	341	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	614
114	114	341	341	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	58	Bb3	3	612
114	114	341	341	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	612
115	115	342	342	3.0	0	0	3/4	2	2	3/4		1/2	3/2	-1	-3	39	Eb2	2	620
115	115	342	342	2.0	0	0	3/4	2	1	1/2		1/2	1		-1	53	F3	3	618
115	115	343	343	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	55	G3	3	616
115	115	343	343	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-3	63	Eb4	4	616
115	115	344	344	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	619
115	115	344	344	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	58	Bb3	3	617
115	115	344	344	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	617
116	116	345	345	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-1	41	F2	2	625
116	116	345	345	2.0	0	0	3/4	2	1	1/2		1/2	1		-3	51	Eb3	3	623
116	116	346	346	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	56	Ab3	3	621
116	116	346	346	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		2	62	D4	4	621
116	116	347	347	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	2	50	D3	3	624
116	116	347	347	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	622
116	116	347	347	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	622
117	117	348	348	1.0	0	0	3/4	2	2	1/4		1/4	1	-1	-1	41	F2	2	630
117	117	348	348	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	2	50	D3	3	629
117	117	348	348	1.0	0	0	3/4	1	1	1/4		1/4	1		2	62	D4	4	626
117	117	348	348	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	626
117	117	349	349	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	627
117	117	349	349	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	627
117	117	350	350	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	628
117	117	350	350	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	80	Ab5	5	628
118	118	351	351	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-1	41	F2	2	635
118	118	351	351	2.0	0	0	3/4	2	1	1/2		1/2	1		2	50	D3	3	633
118	118	352	352	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	56	Ab3	3	631
118	118	352	352	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	631
118	118	353	353	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	0	48	C3	3	634
118	118	353	353	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	632
118	118	353	353	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	632
119	119	354	354	3.0	0	0	3/4	2	2	3/4		1/2	3/2	-1	-1	41	F2	2	641
119	119	354	354	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	0	48	C3	3	636
119	119	355	355	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		2	50	D3	3	637
119	119	711/2	711/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	51	Eb3	3	638
119	119	356	356	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		2	50	D3	3	639
119	119	713/2	713/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		0	48	C3	3	640
120	120	357	357	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-1	41	F2	2	646
120	120	357	357	2.0	0	0	3/4	2	1	1/2		1/2	1		2	50	D3	3	644
120	120	358	358	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	56	Ab3	3	642
120	120	358	358	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	642
120	120	359	359	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	0	48	C3	3	645
120	120	359	359	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	643
