mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
29	29	114	114	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	497			articAccentAbove		107				
29	29	459/4	459/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	498									
29	29	115	115	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	499			articAccentAbove		108				
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	500									
29	29	112	112	0.0	0	0	Spanner	4/4	2	1	0												
29	29	449/4	449/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	501					109				
29	29	225/2	225/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	502									
29	29	453/4	453/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	503					110				
29	29	227/2	227/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	504									
29	29	457/4	457/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	505					111				
29	29	229/2	229/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	506									
29	29	461/4	461/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	507					112				
29	29	231/2	231/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	508									
30	30	116	116	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	509			articAccentAbove		113				
30	30	467/4	467/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	510					113				
30	30	117	117	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	511					113				
30	30	469/4	469/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	512					113				
30	30	235/2	235/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	513					113				
30	30	471/4	471/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	514									
30	30	118	118	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	515			articAccentAbove		114				
30	30	475/4	475/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	516									
30	30	119	119	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	517			articAccentAbove		115				
30	30	479/4	479/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	518									
30	30	465/4	465/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	519					116				
30	30	233/2	233/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	520					116				
30	30	467/4	467/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	521									
30	30	473/4	473/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	522					117				
30	30	237/2	237/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	523					117				
30	30	475/4	475/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	524									
30	30	477/4	477/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	525					118				
30	30	239/2	239/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	526					118				
30	30	479/4	479/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	527									
31	31	120	120	0.0	0	0	Dynamic	4/4	1	1	0					pp							
31	31	120	120	0.0	0	0	StaffText	4/4	1	1	0							una corda					
31	31	120	120	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	528			articAccentAbove		119				
31	31	483/4	483/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	529					119				
31	31	121	121	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	530					119				
31	31	485/4	485/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	531					119				
31	31	243/2	243/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	532					119				
31	31	487/4	487/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	533									
31	31	122	122	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	534			articAccentAbove		120				
31	31	491/4	491/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	535									
31	31	123	123	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	536			articAccentAbove		121				
31	31	495/4	495/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	537									
31	31	481/4	481/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	538					122				
31	31	241/2	241/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	539					122				
31	31	483/4	483/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	540									
31	31	489/4	489/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	541					123				
31	31	245/2	245/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	542					123				
31	31	491/4	491/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	543									
31	31	493/4	493/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	544					124				
31	31	247/2	247/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	545					124				
31	31	495/4	495/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	546									
32	32	125	125	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	547									
32	32	501/4	501/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	548									
32	32	251/2	251/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	549									
32	32	503/4	503/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	550									
32	32	127	127	0.0	3/4	3/4	StaffText	4/4	1	1	0							ritard.					
32	32	127	127	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	551									
32	32	509/4	509/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	552									
32	32	255/2	255/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	553									
32	32	511/4	511/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	554									
32	32	124	124	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	555			articAccentBelow						
32	32	126	126	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	556			articAccentBelow						
32	32	497/4	497/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	557					125				
32	32	249/2	249/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	558					125				
32	32	499/4	499/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	559					125				
32	32	505/4	505/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	560					126				
32	32	253/2	253/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	561					126				
32	32	507/4	507/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	562					126				
33	33	128	128	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	563			articAccentAbove						
33	33	130	130	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	564			articAccentAbove						
33	33	129	129	0.0	1/4	1/4	Spanner	4/4	1	2	0												5
33	33	129	129	0.25	1/4	1/4	Chord	4/4	1	2	1/16	1/16	1	565									5
33	33	517/4	517/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16	1/16	1	566									5
33	33	259/2	259/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	567									5
33	33	519/4	519/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	568									5
33	33	130	130	0.0	1/2	1/2	Spanner	4/4	1	2	0												
33	33	131	131	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	569									
33	33	525/4	525/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	570									
33	33	263/2	263/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	571									
33	33	527/4	527/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	572									
33	33	513/4	513/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	573					127				
33	33	257/2	257/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	574					127				
33	33	515/4	515/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	575					127				
33	33	521/4	521/4	0.0	9/16	9/16	Spanner	4/4	2	1	0											1	
33	33	521/4	521/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	576					128			1	
33	33	261/2	261/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	577					128			1	
33	33	523/4	523/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	578					128			1	
33	33	131	131	0.0	3/4	3/4	Spanner	4/4	2	1	0								128				
34	34	132	132	0.0	0	0	StaffText	4/4	1	1	0							a tempo					
34	34	132	132	0.0	0	0	StaffText	4/4	1	1	0							dolce					
34	34	132	132	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	579			articAccentAbove		129				
34	34	531/4	531/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	580					129				
34	34	133	133	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	581					129				
34	34	533/4	533/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	582					129				
34	34	267/2	267/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	583					129				
34	34	535/4	535/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	584					129				
34	34	134	134	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	585					129				
34	34	537/4	537/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	586					129				
34	34	269/2	269/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	587					129				
34	34	539/4	539/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	588					129				
34	34	135	135	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	589					129				
34	34	541/4	541/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	590					129				
34	34	271/2	271/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	591					129				
34	34	543/4	543/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	592									
34	34	132	132	0.0	0	0	Spanner	4/4	2	1	0									13	13		
34	34	132	132	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	593					130	13	13		
34	34	529/4	529/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	594					130	13	13		
34	34	265/2	265/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	595					130	13	13		
34	34	531/4	531/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	596						13	13		
34	34	135	135	0.0	3/4	3/4	Spanner	4/4	2	1	0												
34	34	541/4	541/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	597					131				
34	34	271/2	271/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	598					131				
34	34	543/4	543/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	599									
35	35	136	136	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	600			articAccentAbove		132				
35	35	547/4	547/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	601					132				
35	35	137	137	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	602			articAccentAbove		132				
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	603					132				
35	35	138	138	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	604			articAccentAbove		132				
35	35	555/4	555/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	605					132				
35	35	139	139	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	606			articAccentAbove		132				
35	35	559/4	559/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	607									
35	35	545/4	545/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	608					133				
35	35	273/2	273/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	609					133				
35	35	547/4	547/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	610									
35	35	549/4	549/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	611					134				
35	35	275/2	275/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	612					134				
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	613									
35	35	553/4	553/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	614					135				
35	35	277/2	277/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	615					135				
35	35	555/4	555/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	616									
35	35	557/4	557/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	617					136				
35	35	279/2	279/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	618					136				
35	35	559/4	559/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	619									
36	36	140	140	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	620			articAccentAbove		137				
36	36	563/4	563/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	621					137				
36	36	141	141	0.0	1/4	1/4	StaffText	4/4	1	1	0							cresc. poco a poco	137				
36	36	141	141	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	622					137				
36	36	565/4	565/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	623					137				
36	36	283/2	283/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	624					137				
36	36	567/4	567/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	625					137				
36	36	142	142	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	626					137				
36	36	569/4	569/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	627					137				
36	36	285/2	285/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	628					137				
36	36	571/4	571/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	629					137				
36	36	143	143	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	630					137				
36	36	573/4	573/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	631					137				
36	36	287/2	287/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	632					137				
36	36	575/4	575/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	633									
36	36	140	140	0.0	0	0	Spanner	4/4	2	1	0									14	14		
36	36	561/4	561/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	634					138	14	14		
36	36	281/2	281/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	635					138	14	14		
36	36	563/4	563/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	636					138	14	14		
36	36	141	141	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	637			articStaccatoAbove			14	14		
36	36	143	143	0.0	3/4	3/4	Spanner	4/4	2	1	0												
36	36	573/4	573/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	638					139				
36	36	287/2	287/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	639					139				
36	36	575/4	575/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	640									
37	37	144	144	0.0	0	0	StaffText	4/4	1	1	0							"poco stretto
tre corde"					
37	37	144	144	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	641			articAccentAbove		140				
37	37	579/4	579/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	642					140				
37	37	145	145	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	643					140				
37	37	581/4	581/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	644					140				
37	37	291/2	291/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	645					140				
37	37	583/4	583/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	646					140				
37	37	146	146	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	647					140				
37	37	585/4	585/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	648					140				
37	37	293/2	293/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	649					140				
37	37	587/4	587/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	650					140				
37	37	147	147	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	651					140				
37	37	589/4	589/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	652					140				
37	37	295/2	295/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	653					140				
37	37	591/4	591/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	654									
37	37	144	144	0.0	0	0	Spanner	4/4	2	1	0									15	15		
37	37	577/4	577/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	655					141	15	15		
37	37	289/2	289/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	656					141	15	15		
37	37	579/4	579/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	657					141	15	15		
37	37	145	145	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	658			articStaccatoAbove			15	15		
37	37	147	147	0.0	3/4	3/4	Spanner	4/4	2	1	0												
37	37	589/4	589/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	659					142				
37	37	295/2	295/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	660					142				
37	37	591/4	591/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	661									
38	38	148	148	0.0	0	0	Dynamic	4/4	1	1	0					f							
38	38	148	148	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	662			articAccentAbove		143				
38	38	595/4	595/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	663					143				
38	38	149	149	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	664					143				
38	38	597/4	597/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	665					143				
38	38	299/2	299/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	666					143				
38	38	599/4	599/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	667					143				
38	38	150	150	0.0	1/2	1/2	Spanner	4/4	1	1	0								143				6
38	38	150	150	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	668					143				6
38	38	601/4	601/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	669					143				6
38	38	301/2	301/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	670					143				6
38	38	603/4	603/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	671					143				6
38	38	151	151	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	672					143				6
38	38	605/4	605/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	673					143				6
38	38	303/2	303/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	674					143				6
38	38	607/4	607/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	675									6
38	38	148	148	0.0	0	0	Spanner	4/4	2	1	0									16	16		
38	38	593/4	593/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	676					144	16	16		
38	38	297/2	297/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	677					144	16	16		
38	38	595/4	595/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	678					144	16	16		
38	38	149	149	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	679			articStaccatoAbove			16	16		
38	38	151	151	0.0	3/4	3/4	Spanner	4/4	2	1	0												
38	38	605/4	605/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	680					145				
38	38	303/2	303/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	681					145				
38	38	607/4	607/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	682									
39	39	152	152	0.0	0	0	Dynamic	4/4	1	1	0					ff							
39	39	152	152	0.0	0	0	Spanner	4/4	1	1	0												
39	39	152	152	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	683			articAccentAbove		146				
39	39	611/4	611/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	684					146				
39	39	153	153	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	685			articAccentAbove		146				
39	39	615/4	615/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	686					146				
39	39	154	154	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	687			articAccentAbove		146				
39	39	619/4	619/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	688					146				
39	39	155	155	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	689			articAccentBelow		146				
39	39	623/4	623/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	690					146				
39	39	609/4	609/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	691					147				
39	39	305/2	305/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	692					147				
39	39	611/4	611/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	693									
39	39	617/4	617/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	694					148				
39	39	309/2	309/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	695					148				
39	39	619/4	619/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	696									
40	40	156	156	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	697			articAccentBelow		146				
40	40	627/4	627/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	698					146				
40	40	157	157	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	699			articAccentBelow		146				
40	40	631/4	631/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	700									
40	40	156	156	0.0	0	0	Spanner	4/4	2	1	0									17	17		
40	40	625/4	625/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	701					149	17	17		
40	40	313/2	313/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	702					149	17	17		
40	40	627/4	627/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	703						17	17		
40	40	158	158	0.0	1/2	1/2	Spanner	4/4	2	1	0												
41	41	160	160	0.0	0	0	StaffText	4/4	1	1	0							dim. e rit.					
41	41	160	160	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	704			articAccentBelow		150				
41	41	643/4	643/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	705					150				
41	41	161	161	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	706			articAccentBelow		150				
41	41	647/4	647/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	707					150				
41	41	162	162	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	708			articAccentBelow		150				
41	41	651/4	651/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	709					150				
41	41	163	163	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	710			articAccentAbove		150				
41	41	655/4	655/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	711					150				
41	41	641/4	641/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	712					151				
41	41	321/2	321/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	713					151				
41	41	643/4	643/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	714									
41	41	649/4	649/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	715					152				
41	41	325/2	325/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	716					152				
41	41	651/4	651/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	717									
42	42	164	164	0.0	0	0	Dynamic	4/4	1	1	0					p			150				
42	42	164	164	0.0	0	0	Spanner	4/4	1	1	0								150			2	
42	42	164	164	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	718			articAccentAbove		150			2	
42	42	659/4	659/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	719					150			2	
42	42	165	165	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	720			articAccentAbove		150			2	
42	42	663/4	663/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	721					150			2	
42	42	166	166	0.0	1/2	1/2	Dynamic	4/4	1	1	0					pp			150				
42	42	166	166	0.0	1/2	1/2	Spanner	4/4	1	1	0								150				
42	42	166	166	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	722			articAccentAbove		150				
42	42	667/4	667/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	723									
42	42	657/4	657/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	724					153				
42	42	329/2	329/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	725					153				
42	42	659/4	659/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	726									
42	42	665/4	665/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	727					154				
42	42	333/2	333/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	728									
42	42	167	167	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	729			articStaccatoBelow						
