mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
25	23	535/8	535/8	0.375		3/32	3/32	Chord	6/8	1	1	3/32		1/8	3/4	170		articStaccatoBelow		27				
25	23	269/4	269/4	0.375		3/16	3/16	Chord	6/8	1	1	3/32		1/8	3/4	171		articStaccatoBelow		27				
25	23	541/8	541/8	0.375		9/32	9/32	Chord	6/8	1	1	3/32		1/8	3/4	172		articStaccatoBelow		27				
25	23	68	68	0.1875		3/8	3/8	Chord	6/8	1	1	3/64		1/16	3/4	173		articStaccatoBelow		27				
25	23	1091/16	1091/16	0.1875		27/64	27/64	Chord	6/8	1	1	3/64		1/16	3/4	174		articStaccatoBelow		27				
25	23	547/8	547/8	0.1875		15/32	15/32	Chord	6/8	1	1	3/64		1/16	3/4	175		articStaccatoBelow		27				
25	23	1097/16	1097/16	0.1875		33/64	33/64	Chord	6/8	1	1	3/64		1/16	3/4	176		articStaccatoBelow		27				
25	23	275/4	275/4	0.0		9/16	9/16	Spanner	6/8	1	1	0								27				7
25	23	275/4	275/4	0.1875		9/16	9/16	Chord	6/8	1	1	3/64		1/16	3/4	177		articStaccatoBelow		27				7
25	23	1103/16	1103/16	0.1875		39/64	39/64	Chord	6/8	1	1	3/64		1/16	3/4	178		articStaccatoBelow		27				7
25	23	553/8	553/8	0.1875		21/32	21/32	Chord	6/8	1	1	3/64		1/16	3/4	179		articStaccatoBelow						7
25	23	1109/16	1109/16	0.1875		45/64	45/64	Chord	6/8	1	1	3/64		1/16	3/4	180								7
25	23	68	68	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	181								
26	24	139/2	139/2	0.0		0	0	Spanner	6/8	1	1	0												
26	24	139/2	139/2	0.0		0	0	Spanner	6/8	1	1	0											5	
26	24	139/2	139/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	182				28			5	
26	24	70	70	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	183				28			5	
26	24	141/2	141/2	0.0		1/4	1/4	Spanner	6/8	1	1	0								28				
26	24	141/2	141/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	184				28				
26	24	71	71	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	185		articStaccatoBelow						
26	24	72	72	0.0		5/8	5/8	StaffText	6/8	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>cresc.    e     stretto</i>"					
26	24	72	72	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	186		articAccentBelow						
26	24	139/2	139/2	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	187				29				
26	24	70	70	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	188				29				
26	24	141/2	141/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	189				29				
26	24	71	71	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	190		articStaccatoAbove						
27	25	145/2	145/2	0.375		0	0	Chord	6/8	1	1	3/32		1/8	3/4	191								
27	25	583/8	583/8	0.375		3/32	3/32	Chord	6/8	1	1	3/32		1/8	3/4	192		articStaccatoBelow		30				
27	25	293/4	293/4	0.375		3/16	3/16	Chord	6/8	1	1	3/32		1/8	3/4	193		articStaccatoBelow		30				
27	25	589/8	589/8	0.375		9/32	9/32	Chord	6/8	1	1	3/32		1/8	3/4	194		articStaccatoBelow		30				
27	25	74	74	0.1875		3/8	3/8	Chord	6/8	1	1	3/64		1/16	3/4	195		articStaccatoBelow		30				
27	25	1187/16	1187/16	0.1875		27/64	27/64	Chord	6/8	1	1	3/64		1/16	3/4	196		articStaccatoBelow		30				
27	25	595/8	595/8	0.1875		15/32	15/32	Chord	6/8	1	1	3/64		1/16	3/4	197				30				
27	25	1193/16	1193/16	0.1875		33/64	33/64	Chord	6/8	1	1	3/64		1/16	3/4	198		articStaccatoBelow		30				
27	25	299/4	299/4	0.1875		9/16	9/16	Chord	6/8	1	1	3/64		1/16	3/4	199		articStaccatoBelow		30				
27	25	1199/16	1199/16	0.1875		39/64	39/64	Chord	6/8	1	1	3/64		1/16	3/4	200		articStaccatoBelow		30				
27	25	601/8	601/8	0.1875		21/32	21/32	Chord	6/8	1	1	3/64		1/16	3/4	201		articStaccatoBelow						
27	25	1205/16	1205/16	0.1875		45/64	45/64	Chord	6/8	1	1	3/64		1/16	3/4	202		articAccentBelow						
