mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
63	63	249/2	249/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	509													
63	63	125	125	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	510		articAccentBelow											
63	63	251/2	251/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	511													
64	64	126	126	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	512		articStaccatoAbove											
64	64	253/2	253/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	513													
64	64	507/4	507/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	514													
64	64	127	127	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	515		articAccentAbove											
64	64	511/4	511/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	516													
64	64	126	126	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	517		articAccentBelow											
64	64	253/2	253/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	518													
64	64	127	127	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	519		articAccentBelow											
64	64	255/2	255/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	520													
65	65	128	128	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	521													
65	65	513/4	513/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	522													
65	65	257/2	257/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	523													
65	65	515/4	515/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	524													
65	65	129	129	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	525		articAccentAbove											
65	65	519/4	519/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	526													
65	65	128	128	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	527		articAccentBelow											
65	65	257/2	257/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	528													
65	65	129	129	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	529		articAccentBelow											
65	65	259/2	259/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	530													
66	66	130	130	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	531													
66	66	521/4	521/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	532													
66	66	261/2	261/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	533													
66	66	523/4	523/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	534													
66	66	131	131	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	535		articAccentAbove											
66	66	527/4	527/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	536													
66	66	130	130	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	537		articAccentBelow											
66	66	261/2	261/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	538													
66	66	131	131	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	539		articAccentBelow											
66	66	263/2	263/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	540													
67	67	132	132	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	541													
67	67	529/4	529/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	542													
67	67	265/2	265/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	543													
67	67	531/4	531/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	544													
67	67	133	133	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	545													
67	67	533/4	533/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	546													
67	67	267/2	267/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	547													
67	67	535/4	535/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	548													
67	67	132	132	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	549		articAccentBelow											
67	67	265/2	265/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	550													
67	67	133	133	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	551		articAccentBelow											
67	67	267/2	267/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	552													
68	68	134	134	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	553													
68	68	537/4	537/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	554													
68	68	269/2	269/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	555													
68	68	539/4	539/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	556													
68	68	135	135	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	557		articAccentBelow											
68	68	134	134	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	558		articAccentBelow											
68	68	269/2	269/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	559													
68	68	135	135	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	560		articAccentBelow											
68	68	271/2	271/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	561													
69	69	136	136	0.0		0	0	Dynamic	2/4	1	1	0					p												
69	69	136	136	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	562		articStaccatoAbove											
69	69	273/2	273/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	563													
69	69	547/4	547/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	564													
69	69	137	137	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	565		articAccentAbove											
69	69	551/4	551/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	566													
69	69	136	136	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	567		articAccentAbove											
69	69	547/4	547/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	568													
69	69	137	137	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	569		articAccentAbove											
69	69	551/4	551/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	570													
70	70	138	138	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	571		articStaccatoAbove											
70	70	277/2	277/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	572													
70	70	555/4	555/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	573													
70	70	139	139	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	574		articAccentAbove											
70	70	559/4	559/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	575													
70	70	138	138	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	576		articAccentAbove											
70	70	555/4	555/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	577													
70	70	139	139	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	578		articAccentAbove											
70	70	559/4	559/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	579													
71	71	140	140	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	580		articStaccatoAbove											
71	71	281/2	281/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	581													
71	71	563/4	563/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	582													
71	71	141	141	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	583		articStaccatoAbove											
71	71	283/2	283/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	584													
71	71	567/4	567/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	585													
71	71	140	140	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	586		articAccentAbove											
71	71	563/4	563/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	587													
71	71	141	141	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	588		articAccentAbove											
71	71	567/4	567/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	589													
72	72	142	142	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	590		articStaccatoAbove											
72	72	285/2	285/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	591													
72	72	571/4	571/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	592													
72	72	143	143	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	593		articStaccatoAbove											
72	72	575/4	575/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	594													
72	72	142	142	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	595		articAccentAbove											
72	72	571/4	571/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	596													
72	72	143	143	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	597		articAccentAbove											
72	72	575/4	575/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	598													
73	73	144	144	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	599		articStaccatoAbove											
73	73	289/2	289/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	600													
73	73	579/4	579/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	601													
73	73	145	145	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	602		articAccentAbove											
73	73	583/4	583/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	603													
73	73	144	144	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	604		articAccentAbove											
73	73	579/4	579/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	605													
73	73	145	145	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	606		articAccentAbove											
73	73	583/4	583/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	607													
74	74	146	146	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	608		articStaccatoAbove											
74	74	293/2	293/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	609													
74	74	587/4	587/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	610													
74	74	147	147	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	611		articAccentAbove											
74	74	591/4	591/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	612													
74	74	146	146	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	613		articAccentAbove											
74	74	587/4	587/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	614													
74	74	147	147	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	615		articAccentAbove											
74	74	591/4	591/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	616													
75	75	148	148	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	617		articStaccatoAbove											
75	75	297/2	297/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	618													
75	75	595/4	595/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	619													
75	75	149	149	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	620		articStaccatoBelow											
75	75	299/2	299/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	621													
75	75	599/4	599/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	622													
75	75	148	148	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	623		articAccentAbove											
75	75	595/4	595/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	624													
75	75	149	149	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	625		articAccentAbove											
75	75	599/4	599/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	626													
76	76	150	150	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	627		articStaccatoBelow											
76	76	301/2	301/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	628													
76	76	603/4	603/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	629													
76	76	151	151	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	630		articStaccatoBelow											
76	76	150	150	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	631		articAccentAbove											
76	76	603/4	603/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	632													
76	76	151	151	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	633		articAccentAbove											
76	76	607/4	607/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	634													
77	77	152	152	0.0		0	0	Dynamic	2/4	1	1	0					pp												
77	77	152	152	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	635													
77	77	609/4	609/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	636													
77	77	305/2	305/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	637													
77	77	611/4	611/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	638													
77	77	153	153	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	639		articAccentBelow											
77	77	615/4	615/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	640													
77	77	152	152	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	641		articAccentBelow											
77	77	611/4	611/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	642													
77	77	153	153	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	643		articAccentBelow											
77	77	615/4	615/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	644													
78	78	154	154	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	645													
78	78	617/4	617/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	646													
78	78	309/2	309/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	647													
78	78	619/4	619/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	648													
78	78	155	155	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	649		articAccentBelow											
78	78	623/4	623/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	650													
78	78	154	154	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	651		articAccentBelow											
78	78	619/4	619/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	652													
78	78	155	155	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	653		articAccentBelow											
78	78	623/4	623/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	654													
79	79	156	156	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	655													
79	79	625/4	625/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	656													
79	79	313/2	313/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	657													
79	79	627/4	627/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	658													
79	79	157	157	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	659													
79	79	629/4	629/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	660													
79	79	315/2	315/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	661													
79	79	631/4	631/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	662													
79	79	156	156	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	663		articAccentBelow											
79	79	627/4	627/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	664													
79	79	157	157	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	665		articAccentBelow											
79	79	631/4	631/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	666													
80	80	158	158	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	667													
80	80	633/4	633/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	668													
80	80	317/2	317/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	669													
80	80	635/4	635/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	670													
80	80	159	159	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	671		articStaccatoBelow											
80	80	639/4	639/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	672													
80	80	158	158	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	673		articAccentBelow											
80	80	635/4	635/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	674													
80	80	159	159	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	675		articAccentBelow											
80	80	639/4	639/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	676													
81	81	160	160	0.0		0	0	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>dim.</i>"										
81	81	160	160	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	677													
81	81	641/4	641/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	678													
81	81	321/2	321/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	679													
81	81	643/4	643/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	680													
81	81	161	161	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	681		articAccentBelow											
81	81	647/4	647/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	682													
81	81	160	160	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	683		articAccentBelow											
81	81	643/4	643/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	684													
81	81	161	161	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	685		articAccentBelow											
81	81	647/4	647/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	686													
82	82	162	162	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	687													
82	82	649/4	649/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	688													
82	82	325/2	325/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	689													
82	82	651/4	651/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	690													
82	82	163	163	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	691		articAccentBelow											
82	82	655/4	655/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	692													
82	82	162	162	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	693		articAccentBelow											
82	82	651/4	651/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	694													
82	82	163	163	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	695		articAccentBelow											
82	82	655/4	655/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	696													
83	83	164	164	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	697													
83	83	657/4	657/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	698													
83	83	329/2	329/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	699													
83	83	659/4	659/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	700													
83	83	165	165	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	701													
83	83	661/4	661/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	702													
83	83	331/2	331/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	703													
83	83	663/4	663/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	704													
83	83	164	164	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	705		articAccentBelow											
83	83	659/4	659/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	706													
83	83	165	165	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	707		articAccentBelow											
83	83	663/4	663/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	708													
84	84		166	0.25	1	0	0	Chord	2/4	1	1	1/16		1/16	1	709													
84	84		665/4	0.25	1	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	710													
84	84		333/2	0.25	1	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	711													
84	84		667/4	0.25	1	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	712													
84	84		167	0.5	1	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	713													
84	84		166	0.75	1	0	0	Chord	2/4	2	1	3/16		1/8	3/2	714		articAccentBelow											
84	84		667/4	0.25	1	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	715													
84	84		167	0.75	1	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	716		articAccentBelow											
84	84		671/4	0.25	1	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	717													
85	84	166	168	0.25	2	0	0	Chord	2/4	1	1	1/16		1/16	1	718													
85	84	665/4	673/4	0.25	2	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	719													
85	84	333/2	337/2	0.25	2	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	720													
85	84	667/4	675/4	0.25	2	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	721													
85	84	166	168	0.75	2	0	0	Chord	2/4	2	1	3/16		1/8	3/2	722		articAccentBelow											
85	84	667/4	675/4	0.25	2	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	723													
85	84	167	169	0.75	2	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	724		articAccentBelow											
85	84	671/4	679/4	0.25	2	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	725													
86	85	168	170	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	726		articAccentBelow											
86	85	675/4	683/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	727													
86	85	169	171	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	728		articAccentBelow											
86	85	679/4	687/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	729													
87	86	170	172	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	730													
87	86	681/4	689/4	0.0		1/16	1/16	Dynamic	2/4	1	1	0					ppp												
87	86	681/4	689/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	731													
87	86	341/2	345/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	732													
87	86	683/4	691/4	0.0		3/16	3/16	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>calando</i>"										
87	86	683/4	691/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	733													
87	86	170	172	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	734		articAccentBelow											
87	86	683/4	691/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	735													
87	86	171	173	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	736		articAccentBelow											
87	86	687/4	695/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	737													
88	87	172	174	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	738		articAccentBelow											
88	87	691/4	699/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	739													
88	87	173	175	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	740		articAccentBelow											
88	87	695/4	703/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	741													
90	89	176	178	0.0		0	0	StaffText	2/4	1	1	0							"<b><font size=""13""/><font face=""Times New Roman""/>Allegro molto
(Doppio movimento)</b>"										
90	89	176	178	0.0		0	0	Dynamic	2/4	2	1	0					p												
90	89	176	178	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	742		articStaccatoAbove											
90	89	353/2	357/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	743													
90	89	707/4	715/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	744													
90	89	177	179	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	745		articAccentAbove											
90	89	711/4	719/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	746													
90	89	176	178	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	747		articStaccatoBelow											
90	89	353/2	357/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	748													
90	89	707/4	715/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	749													
90	89	177	179	0.75		1/4	1/4	Chord	2/4	2	2	3/16		1/8	3/2	750		articAccentBelow											
90	89	711/4	719/4	0.25		7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	751													
91	90	178	180	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	752		articAccentAbove											
91	90	715/4	723/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	753													
91	90	179	181	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	754		articAccentAbove											
91	90	719/4	727/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	755													
91	90	178	180	0.75		0	0	Chord	2/4	2	2	3/16		1/8	3/2	756		articAccentBelow											
91	90	715/4	723/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	757													
91	90	179	181	0.75		1/4	1/4	Chord	2/4	2	2	3/16		1/8	3/2	758		articAccentBelow											
91	90	719/4	727/4	0.25		7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	759													
92	91	180	182	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	760		articStaccatoAbove											
92	91	361/2	365/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	761													
92	91	723/4	731/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	762													
92	91	181	183	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	763		articAccentAbove											
92	91	727/4	735/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	764													
92	91	180	182	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	765		articStaccatoBelow											
92	91	361/2	365/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	766													
92	91	723/4	731/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	767													
92	91	181	183	0.75		1/4	1/4	Chord	2/4	2	2	3/16		1/8	3/2	768		articAccentBelow											
92	91	727/4	735/4	0.25		7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	769													
93	92	182	184	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	770		articAccentAbove											
93	92	731/4	739/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	771													
93	92	183	185	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	772		articAccentAbove											
93	92	735/4	743/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	773													
93	92	182	184	0.75		0	0	Chord	2/4	2	2	3/16		1/8	3/2	774		articAccentBelow											
93	92	731/4	739/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	775													
93	92	183	185	0.75		1/4	1/4	Chord	2/4	2	2	3/16		1/8	3/2	776		articAccentBelow											
93	92	735/4	743/4	0.25		7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	777													
94	93	184	186	0.0		0	0	Dynamic	2/4	2	1	0					f												
