mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	207		articAccentBelow											
32	32	93	93	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	208		articAccentBelow											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	209		articAccentBelow											
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	210													
33	33	193/2	193/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0				p												
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	211									52				
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	212									52				
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	213									52				
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	214									52				
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	215													
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	216													
34	34	99	99	0.0	0	0	Dynamic	3/4	1	1	0				p												
34	34	100	100	0.0	1/4	1/4	StaffText	3/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>dolce</i>"										
34	34	100	100	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	217									53				
34	34	401/4	401/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	218													
34	34	101	101	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	219									54				
34	34	405/4	405/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	220													
34	34	99	99	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	221									55				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	222									55				
35	35	103	103	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	223									56				
35	35	413/4	413/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	224													
35	35	104	104	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	225									57				
