mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
93	93	276	276	0.0	0	0	Dynamic	3/4	1	1	0					pp												
93	93	276	276	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	540													
93	93	276	276	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	541													
93	93	276	276	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	542		articAccentAbove							29				
93	93	277	277	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	543													
93	93	278	278	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	544													
94	94	279	279	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	545									29				
94	94	280	280	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	546									29				
94	94	280	280	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	547									29				
94	94	280	280	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	548									29				
94	94	563/2	563/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	549									29				
94	94	279	279	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	550													
94	94	280	280	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	551													
94	94	281	281	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	552													
95	95	282	282	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	553									29				
95	95	565/2	565/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	554									29				
95	95	283	283	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	555									29				
95	95	283	283	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	556													
95	95	284	284	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	557													
96	96	285	285	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	558									29				
96	96	571/2	571/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	559									29				
96	96	286	286	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	560									29				
96	96	573/2	573/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	561									29				
96	96	287	287	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	562									29				
96	96	575/2	575/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	563													
96	96	285	285	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	564													
96	96	286	286	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	565													
96	96	287	287	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	566													
97	97	288	288	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""11""/><i>stretto molto e cresc.</i>"										
97	97	288	288	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	567									30				
97	97	577/2	577/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	568									30				
97	97	289	289	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	569									30				
97	97	579/2	579/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	570									30				
97	97	290	290	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	571									30				
97	97	581/2	581/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	572													
97	97	289	289	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	573													
97	97	290	290	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	574													
98	98	291	291	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	575									31				
98	98	583/2	583/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	576									31				
98	98	292	292	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	577									31				
98	98	585/2	585/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	578									31				
98	98	293	293	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	579									31				
98	98	587/2	587/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	580													
98	98	292	292	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	581													
98	98	293	293	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	582													
99	99	294	294	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	583									32				
99	99	589/2	589/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	584									32				
99	99	295	295	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	585									32				
99	99	591/2	591/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	586									32				
99	99	296	296	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	587									32				
99	99	593/2	593/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	588													
99	99	295	295	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	589													
99	99	296	296	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	590													
100	100	297	297	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	591									33				
100	100	595/2	595/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	592									33				
100	100	298	298	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	593									33				
100	100	597/2	597/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	594									33				
100	100	299	299	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	595									33				
100	100	599/2	599/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	596													
100	100	298	298	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	597													
100	100	299	299	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	598													
101	101	302	302	0.0	1/2	1/2	Spanner	3/4	1	1	0																	4
101	101	302	302	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	599									34				4
101	101	605/2	605/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	600									34				4
101	101	300	300	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	601									35				
101	101	601/2	601/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	602									35				
101	101	301	301	0.0	1/4	1/4	Spanner	3/4	2	1	0													35			7	
101	101	301	301	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	603									35			7	
101	101	603/2	603/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	604												7	
102	102	303	303	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	605									34				4
102	102	607/2	607/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	606													4
102	102	304	304	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
102	102	304	304	0.0	1/4	1/4	Spanner	3/4	2	1	0																7	5
102	102	304	304	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	607									36			7	5
102	102	609/2	609/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	608									36			7	5
102	102	305	305	0.0	1/2	1/2	Spanner	3/4	2	1	0													36				5
102	102	305	305	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	609									36				5
102	102	611/2	611/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	610													5
103	103	306	306	0.0	0	0	Spanner	3/4	1	1	0																	6
103	103	306	306	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	611									37				6
103	103	613/2	613/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					f								37				6
103	103	613/2	613/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	612									37				6
103	103	307	307	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	613									37				6
103	103	615/2	615/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	614													6
103	103	306	306	0.0	0	0	Spanner	3/4	2	1	0																	
103	103	308	308	0.0	1/2	1/2	Spanner	3/4	2	1	0																	7
103	103	308	308	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	615									38				7
103	103	617/2	617/2	0.0	5/8	5/8	StaffText	3/4	2	1	0							"<font size=""9""/><i>rit. molto</i>"						38				7
103	103	617/2	617/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	616									38				7
104	104	309	309	0.0	0	0	Spanner	3/4	1	1	0																	
104	104	310	310	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	617									39				
104	104	621/2	621/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	618									39				
104	104	311	311	0.0	1/2	1/2	StaffText	3/4	1	1	0							"<font size=""10""/><i>molto più lento</i>"						39				
104	104	311	311	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	619									39				
104	104	623/2	623/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	620													
104	104	309	309	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	621									38				7
104	104	619/2	619/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	622													7
104	104	310	310	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
105	105	312	312	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><i>cantabile</i>"										
105	105	312	312	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	623		articAccentAbove							40				
105	105	312	312	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	624													
105	105	312	312	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	625									41				
105	105	314	314	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	626									41				
105	105	312	312	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	627													
106	106	315	315	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	628													
106	106	316	316	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	629													
106	106	635/2	635/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	630													
106	106	315	315	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	631													
106	106	315	315	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	632													
106	106	315	315	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	633													
107	107	318	318	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	634													
107	107	637/2	637/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	635													
107	107	319	319	0.0	1/4	1/4	Spanner	3/4	1	1	0															3		
107	107	319	319	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	636		articAccentAbove									3		
107	107	318	318	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	637											3		
107	107	318	318	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	638									42				
107	107	320	320	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	639									42				
107	107	318	318	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	640													
108	108	321	321	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	641											3		
108	108	322	322	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
108	108	322	322	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	642													
108	108	647/2	647/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	643													
108	108	321	321	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	644													
108	108	321	321	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	645									43				
108	108	323	323	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	646													
108	108	321	321	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	647													
108	108	321	321	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	648													
109	109	324	324	0.0	0	0	Dynamic	3/4	1	1	0					p												
109	109	324	324	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	649													
109	109	324	324	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	650													
109	109	324	324	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	651													
110	110	327	327	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	652													
110	110	327	327	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	653													
110	110	327	327	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	654													
111	111	330	330	0.0	0	0	Dynamic	3/4	1	1	0					pp												
111	111	330	330	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	655													
111	111	330	330	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	656													
111	111	330	330	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	657													
112	112	333	333	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	658													
112	112	333	333	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	659													
112	112	333	333	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	660													
113	113	336	336	0.0	0	0	Dynamic	3/4	1	1	0					pp												
113	113	337	337	0.0	1/4	1/4	StaffText	3/4	1	1	0							"<font size=""11""/><b>Tempo I.</b>"										
113	113	337	337	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	661													
113	113	338	338	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	662													
113	113	336	336	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	663		articAccentBelow											
114	114	340	340	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	664													
114	114	341	341	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	665													
114	114	339	339	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	666													
114	114	340	340	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	667													
114	114	683/2	683/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	668													
115	115	343	343	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	669													
115	115	344	344	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	670													
115	115	342	342	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	671													
115	115	685/2	685/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	672													
115	115	343	343	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	673		articAccentBelow											
116	116	346	346	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	674													
116	116	347	347	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	675													
116	116	345	345	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	676													
116	116	346	346	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	677													
116	116	695/2	695/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	678													
117	117	348	348	0.0	0	0	Spanner	3/4	1	1	0																8	
117	117	349	349	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	679												8	
117	117	348	348	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	680		articAccentBelow											
117	117	699/2	699/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	681													
117	117	350	350	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	682		articAccentBelow											
118	118	351	351	0.0	0	0	Spanner	3/4	1	1	0																	
118	118	351	351	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	683													
118	118	353	353	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	684													
118	118	351	351	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	685													
118	118	703/2	703/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	686													
118	118	352	352	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	687		articAccentBelow											
118	118	707/2	707/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	688													
119	119	354	354	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	689									44				
119	119	709/2	709/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	690									44				
119	119	355	355	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	691									44				
119	119	711/2	711/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	692									44				
119	119	356	356	0.0	1/2	1/2	Spanner	3/4	2	1	0													44			9	
119	119	356	356	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	693									44			9	
119	119	713/2	713/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	694									44			9	
120	120	357	357	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	695													
120	120	715/2	715/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	696													
120	120	358	358	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	697													
120	120	717/2	717/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	698													
120	120	359	359	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	699													
120	120	719/2	719/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	700													
121	121	360	360	0.0	0	0	Dynamic	3/4	1	1	0					f												
121	121	360	360	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	701		articAccentAbove							45				
121	121	361	361	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	702													
121	121	362	362	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	703													
121	121	360	360	0.0	0	0	Spanner	3/4	2	1	0																	
121	121	361	361	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	704													
121	121	362	362	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	705													
122	122	363	363	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	706									45				
122	122	364	364	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	707									45				
122	122	731/2	731/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	708													
122	122	364	364	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	709													
122	122	365	365	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	710													
122	122	364	364	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	711													
122	122	365	365	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	712													
123	123	366	366	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	713									46				
123	123	733/2	733/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	714									46				
123	123	367	367	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	715		articAccentAbove							46				
123	123	367	367	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	716													
123	123	368	368	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	717													
123	123	367	367	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	718													
123	123	368	368	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	719													
124	124	369	369	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	720									46				
124	124	370	370	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	721									46				
124	124	743/2	743/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	722													
124	124	370	370	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	723													
124	124	371	371	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	724													
124	124	370	370	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	725													
124	124	371	371	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	726													
125	125	372	372	0.0	0	0	Spanner	3/4	1	1	0																10	
125	125	372	372	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	727		articAccentAbove							47			10	
125	125	747/2	747/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	728												10	
125	125	374	374	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	729		articAccentAbove							48			10	
125	125	373	373	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	730												10	
125	125	373	373	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	731													
126	126	375	375	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	732									48			10	
126	126	751/2	751/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	733												10	
126	126	376	376	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
126	126	376	376	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	734		articAccentAbove							49				
126	126	755/2	755/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	735													
126	126	375	375	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	736													
126	126	377	377	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	737													
126	126	375	375	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	738													
126	126	377	377	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	739													
127	127	378	378	0.0	0	0	StaffText	3/4	1	1	0							sempre										
127	127	378	378	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	740													
127	127	379	379	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	741													
127	127	380	380	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	742													
128	128	381	381	0.0	0	0	Dynamic	3/4	1	1	0					f												
128	128	381	381	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	743													
128	128	381	381	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	744													
128	128	382	382	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	745													
128	128	383	383	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	746													
129	129	384	384	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	747									50				
129	129	769/2	769/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	748									50				
129	129	385	385	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	749									50				
129	129	771/2	771/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	750									50				
129	129	386	386	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	751									50				
129	129	773/2	773/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	752									50				
129	129	386	386	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	753													
129	129	385	385	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	754													
130	130	387	387	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	755									50				
130	130	775/2	775/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	756									50				
130	130	388	388	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	757									50				
130	130	777/2	777/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	758									50				
130	130	389	389	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	759									50				
130	130	779/2	779/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	760													
130	130	388	388	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	761													
130	130	387	387	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	762													
130	130	389	389	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	763													
131	131	390	390	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	764													
131	131	391	391	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	765													
131	131	392	392	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	766													
132	132	393	393	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	767													
132	132	393	393	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	768													
132	132	394	394	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	769													
132	132	395	395	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	770													
133	133	396	396	0.0	0	0	Dynamic	3/4	1	1	0					pp												
133	133	396	396	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	771									51				
133	133	793/2	793/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	772									51				
133	133	397	397	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	773									51				
133	133	795/2	795/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	774									51				
133	133	398	398	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	775									51				
133	133	797/2	797/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	776									51				
133	133	398	398	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	777													
133	133	397	397	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	778													
134	134	399	399	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	779									51				
134	134	799/2	799/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	780									51				
134	134	400	400	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	781									51				
134	134	801/2	801/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	782									51				
134	134	401	401	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	783									51				
134	134	803/2	803/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	784													
134	134	402	402	0.0	3/4	3/4	StaffText	3/4	1	1	0							"<i><font size=""9""/>poco tranquillo</i>"										
134	134	400	400	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	785													
134	134	399	399	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	786													
134	134	401	401	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	787													
135	135	402	402	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	788		articAccentBelow											
135	135	403	403	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	789													
135	135	404	404	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	790													
136	136	405	405	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	791													
136	136	405	405	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	792													
136	136	406	406	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	793													
136	136	407	407	0.0	1/2	1/2	Spanner	3/4	2	1	0																11	
136	136	407	407	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	794												11	
137	137	408	408	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	795													
137	137	409	409	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	796												11	
137	137	410	410	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	797												11	
138	138	411	411	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	798													
138	138	411	411	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	799												11	
138	138	412	412	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
138	138	412	412	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	800													
138	138	413	413	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	801													
139	139	414	414	0.0	0	0	Spanner	3/4	1	1	0														1			
139	139	414	414	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	802										1			
139	139	414	414	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	803										1			
139	139	414	414	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	804										1			
139	139	414	414	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	805										1			
