mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
54	54	106	106	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	496		articAccentStaccatoBelow							
54	54	213/2	213/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	497		articStaccatoBelow							
54	54	107	107	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	498		articAccentStaccatoBelow							
54	54	215/2	215/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	499		articStaccatoBelow							
55	55	108	108	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	500		articStaccatoBelow							
55	55	217/2	217/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	501		articTenutoBelow							
55	55	108	108	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	502		articAccentStaccatoBelow							
55	55	217/2	217/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	503		articStaccatoBelow							
55	55	109	109	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	504		articAccentStaccatoBelow							
55	55	219/2	219/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	505		articStaccatoBelow							
56	56	110	110	0.0	0	0	Dynamic	2/4	1	1	0					p								
56	56	110	110	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	506		articAccentAbove				42			
56	56	881/8	881/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	507						42			
56	56	441/4	441/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	508						42			
56	56	883/8	883/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	509						42			
56	56	221/2	221/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	510		articStaccatoAbove							
56	56	111	111	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	511		articAccentAbove				43			
56	56	889/8	889/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	512						43			
56	56	445/4	445/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	513						43			
56	56	891/8	891/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	514						43			
56	56	223/2	223/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	515		articStaccatoAbove							
56	56	110	110	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	516		articStaccatoBelow							
56	56	221/2	221/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	517		articStaccatoBelow							
56	56	111	111	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	518		articStaccatoBelow							
56	56	223/2	223/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	519		articStaccatoBelow							
57	57	225/2	225/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	520		articTenutoBelow							
57	57	112	112	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	521		articStaccatoBelow							
57	57	225/2	225/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	522		articStaccatoBelow							
57	57	113	113	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	523		articStaccatoBelow							
57	57	227/2	227/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	524		articStaccatoBelow							
58	58	114	114	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	525		articAccentAbove				44			
58	58	913/8	913/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	526						44			
58	58	457/4	457/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	527						44			
58	58	915/8	915/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	528						44			
58	58	229/2	229/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	529		articStaccatoAbove							
58	58	115	115	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	530		articAccentAbove				45			
58	58	921/8	921/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	531						45			
58	58	461/4	461/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	532						45			
58	58	923/8	923/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	533						45			
58	58	231/2	231/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	534		articStaccatoAbove							
58	58	114	114	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	535		articStaccatoBelow							
58	58	229/2	229/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	536		articStaccatoBelow							
58	58	115	115	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	537		articStaccatoBelow							
58	58	231/2	231/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	538		articStaccatoBelow							
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	539		articStaccatoBelow							
59	59	117	117	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	540		articAccentBelow				46			
59	59	937/8	937/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	541						46			
59	59	469/4	469/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	542						46			
59	59	939/8	939/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	543						46			
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	544		articStaccatoBelow							
59	59	116	116	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	545		articStaccatoBelow							
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	546		articStaccatoBelow							
59	59	117	117	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	547		articStaccatoBelow							
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	548		articStaccatoBelow							
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	549		articStaccatoBelow							
60	60	119	119	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	550		articAccentBelow				47			
60	60	953/8	953/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	551						47			
60	60	477/4	477/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	552						47			
60	60	955/8	955/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	553						47			
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	554		articStaccatoBelow							
60	60	118	118	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
60	60	118	118	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	555		articStaccatoBelow							
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	556		articStaccatoBelow							
60	60	119	119	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	557		articStaccatoBelow							
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	558		articStaccatoBelow							
61	61	241/2	241/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	559		articStaccatoBelow							
61	61	121	121	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	560		articAccentBelow				48			
61	61	969/8	969/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	561						48			
61	61	485/4	485/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	562						48			
61	61	971/8	971/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	563						48			
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	564		articStaccatoBelow							
61	61	120	120	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
61	61	120	120	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	565		articStaccatoBelow							
61	61	241/2	241/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	566		articStaccatoBelow							
61	61	121	121	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	567		articStaccatoBelow							
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	568		articStaccatoBelow							
62	62	245/2	245/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	569		articStaccatoBelow							
62	62	123	123	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	570		articAccentBelow				49			
62	62	985/8	985/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	571						49			
62	62	493/4	493/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	572						49			
62	62	987/8	987/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	573						49			
62	62	247/2	247/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	574		articStaccatoBelow							
62	62	122	122	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	575		articStaccatoBelow							
62	62	245/2	245/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	576		articStaccatoBelow							
62	62	123	123	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	577		articStaccatoBelow							
62	62	247/2	247/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	578		articStaccatoBelow							
63	63	251/2	251/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	579						50			
63	63	1005/8	1005/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	580						50			
63	63	503/4	503/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	581						50			
63	63	1007/8	1007/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	582						50			
63	63	124	124	0.0	0	0	Dynamic	2/4	2	1	0					pp								
63	63	124	124	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	583		articStaccatoBelow							
63	63	249/2	249/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	584		articStaccatoBelow							
63	63	125	125	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	585		articStaccatoBelow							
63	63	251/2	251/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	586		articStaccatoBelow							
64	64	126	126	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	587		articStaccatoAbove							
64	64	253/2	253/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	588		articStaccatoAbove							
64	64	127	127	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	589		articStaccatoAbove							
64	64	255/2	255/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	590		articStaccatoAbove							
64	64	126	126	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	591		articStaccatoBelow							
64	64	253/2	253/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	592		articStaccatoBelow							
64	64	127	127	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	593		articStaccatoBelow							
64	64	255/2	255/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	594		articStaccatoBelow							
65	65	128	128	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	595		articStaccatoAbove							
65	65	257/2	257/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	596		articStaccatoAbove							
65	65	129	129	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	597		articStaccatoAbove							
65	65	259/2	259/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	598		articStaccatoAbove							
65	65	128	128	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	599		articStaccatoBelow							
65	65	257/2	257/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	600		articStaccatoBelow							
65	65	129	129	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	601		articStaccatoBelow							
65	65	259/2	259/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	602		articStaccatoBelow							
66	66	130	130	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	603		articStaccatoAbove							
66	66	261/2	261/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	604		articStaccatoAbove							
66	66	131	131	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	605		articStaccatoAbove							
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	606									
66	66	130	130	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	607		articStaccatoBelow							
66	66	261/2	261/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	608		articStaccatoBelow							
66	66	131	131	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	609		articStaccatoBelow							
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	610		articStaccatoBelow							
67	67	132	132	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	611									
67	67	132	132	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	612		articStaccatoBelow							
67	67	265/2	265/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	613		articStaccatoBelow							
67	67	133	133	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	614		articStaccatoBelow							
67	67	267/2	267/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	615		articStaccatoBelow							
68	68	134	134	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	616		articStaccatoBelow							
68	68	269/2	269/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	617		articStaccatoBelow							
68	68	135	135	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	618		articStaccatoBelow							
68	68	271/2	271/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	619		articStaccatoBelow							
69	69	136	136	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	620		articStaccatoAbove							
69	69	273/2	273/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	621		articStaccatoAbove							
69	69	137	137	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	622		articStaccatoAbove							
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	623		articAccentAbove							
70	70	138	138	0.0	0	0	Tempo	2/4	1	1	0							100	100.0	0.0				
70	70	138	138	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	624									
71	71	140	140	0.0	0	0	Tempo	2/4	1	1	0							112	112.0	0.0				
71	71	140	140	0.0	0	0	Dynamic	2/4	1	1	0					other-dynamics								
71	71	140	140	0.0	0	0	Dynamic	2/4	1	1	0					p								
71	71	140	140	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	625						51			
71	71	141	141	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	626						51			
71	71	283/2	283/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	627						51			
71	71	140	140	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	628									
71	71	140	140	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	629									
72	72	142	142	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	630						51			
72	72	143	143	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	631						51			
72	72	287/2	287/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	632						51			
72	72	142	142	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	633									
72	72	142	142	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	634									
73	73	144	144	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	635						51			
73	73	289/2	289/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	636						51			
73	73	291/2	291/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	637									
73	73	144	144	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	638									
73	73	144	144	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	639									
74	74	146	146	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	640									
74	74	146	146	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	641									
74	74	146	146	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	642									
74	74	146	146	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	643									
75	75	148	148	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	644						52			
75	75	149	149	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	645						52			
75	75	299/2	299/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	646						52			
75	75	148	148	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	647									
75	75	148	148	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	648									
75	75	148	148	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	649									
75	75	149	149	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	650									
76	76	150	150	0.0	0	0	Spanner	2/4	1	1	0										52			1
76	76	150	150	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	651						52			1
76	76	151	151	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	652						52			1
76	76	303/2	303/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	653						52			1
76	76	150	150	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	654									1
76	76	150	150	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	655									
76	76	150	150	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	656						53			
76	76	151	151	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	657									
76	76	150	150	2.0	0	0	Chord	2/4	2	4	1/2		1/2	1	658									
77	77	152	152	0.0	0	0	Spanner	2/4	1	1	0										52			
77	77	152	152	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	659						52			
77	77	305/2	305/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	660						52			
77	77	307/2	307/2	0.0	3/8	3/8	Spanner	2/4	1	1	0												0	
77	77	307/2	307/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	661								0	
77	77	152	152	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	662								0	
77	77	152	152	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	663						54			
77	77	153	153	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	664									
77	77	152	152	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	665									
78	78	154	154	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	666								0	
78	78	154	154	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	667								0	
78	78	154	154	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	668								0	
78	78	154	154	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	669									
78	78	154	154	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	670						55			
78	78	155	155	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	671									
78	78	154	154	2.0	0	0	Chord	2/4	2	4	1/2		1/2	1	672									
79	79	156	156	0.0	0	0	Spanner	2/4	1	1	0													
79	79	156	156	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	673						56			
79	79	157	157	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	674						56			
79	79	315/2	315/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	675						56			
79	79	313/2	313/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	676									
79	79	313/2	313/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	677									
80	80	158	158	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	678						56			
80	80	159	159	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	679						56			
80	80	319/2	319/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	680						56			
80	80	317/2	317/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	681									
80	80	317/2	317/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	682									
81	81	160	160	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	683						56			
81	81	161	161	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	684						56			
81	81	323/2	323/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	685									
81	81	321/2	321/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	686									
81	81	321/2	321/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	687									
82	82	162	162	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	688									
82	82	162	162	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	689									
82	82	325/2	325/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	690									
82	82	325/2	325/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	691									
83	83	164	164	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	692						57			
83	83	165	165	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	693						57			
83	83	331/2	331/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	694						57			
83	83	329/2	329/2	0.0	1/8	1/8	Spanner	2/4	1	2	0													2
83	83	329/2	329/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	695									2
83	83	329/2	329/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	696									
83	83	329/2	329/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	697						58			
83	83	331/2	331/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	698									
84	84	166	166	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	699						57			2
84	84	167	167	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	700						57			2
84	84	335/2	335/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	701						57			2
84	84	333/2	333/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	702									2
84	84	333/2	333/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	703									
84	84	333/2	333/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	704									
84	84	335/2	335/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	705									
85	85	168	168	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	706						57			
85	85	169	169	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	707						57			
85	85	339/2	339/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	708									
85	85	168	168	0.0	0	0	Spanner	2/4	1	2	0													
85	85	337/2	337/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	709									
85	85	337/2	337/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	710						59			
85	85	339/2	339/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	711									
85	85	337/2	337/2	0.0	1/8	1/8	Chord	2/4	2	2	0	acciaccatura	1/8	1	712									
85	85	337/2	337/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	713									
86	86	170	170	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	714									
86	86	170	170	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	715									
86	86	341/2	341/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	716									
86	86	341/2	341/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	717									
87	87	172	172	0.0	0	0	Dynamic	2/4	1	1	0					p								
87	87	172	172	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	718						60			
87	87	1033/6	1033/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	719						60			
87	87	517/3	517/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	720						60			
87	87	345/2	345/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	721						60			
87	87	518/3	518/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	722						60			
87	87	1037/6	1037/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	723									
87	87	173	173	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	724		articTenutoAbove							
87	87	173	173	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	725		articTenutoAbove							
88	88	174	174	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	726						61			
88	88	1045/6	1045/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	727						61			
88	88	523/3	523/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	728						61			
88	88	349/2	349/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	729						61			
88	88	524/3	524/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	730						61			
88	88	1049/6	1049/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	731									
88	88	175	175	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	732		articTenutoAbove							
88	88	175	175	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	733		articTenutoAbove							
89	89	176	176	0.0	0	0	Tempo	2/4	1	1	0							150	150.0	0.0				
89	89	353/2	353/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	734						62			
89	89	707/4	707/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	735						62			
89	89	177	177	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	736						62			
89	89	709/4	709/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	737						62			
89	89	355/2	355/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	738						62			
89	89	711/4	711/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	739						62			
89	89	176	176	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	740		articStaccatoBelow							
89	89	353/2	353/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	741		articStaccatoBelow							
89	89	177	177	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	742		articStaccatoBelow							
89	89	355/2	355/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	743		articStaccatoBelow							
90	90	178	178	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	744						62			
90	90	713/4	713/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	745						62			
90	90	357/2	357/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	746						62			
90	90	715/4	715/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	747						62			
90	90	179	179	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	748						62			
90	90	717/4	717/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	749									
90	90	178	178	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	750		articStaccatoAbove							
90	90	357/2	357/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	751		articStaccatoAbove							
