mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
20	19	74	74	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	156									
20	19	75	75	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	157									
20	19	73	73	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	158									
20	19	75	75	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	159									
21	20	77	77	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	160					11				
21	20	78	78	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	161					11				
21	20	79	79	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	162									
21	20	80	80	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	163					12				
21	20	77	77	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	164									
21	20	79	79	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	165									
21	20	77	77	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	166									
21	20	78	78	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	167									
21	20	79	79	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	168									
21	20	80	80	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	169					13				
22	21	81	81	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	170									
22	21	82	82	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	171									
22	21	83	83	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	172									
22	21	84	84	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	173									
22	21	169/2	169/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	174									
22	21	81	81	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	175									
22	21	82	82	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	176									
22	21	83	83	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	177									
22	21	84	84	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	178									
22	21	169/2	169/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	179									
23	22	85	85	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	180									
23	22	87	87	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	181									
23	22	85	85	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	182									
23	22	87	87	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	183									
24	23	89	89	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	184									
24	23	90	90	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	185									
24	23	91	91	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	186									
24	23	185/2	185/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	187									
24	23	91	91	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	188									
24	23	89	89	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	189									
24	23	90	90	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	190									
24	23	91	91	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	191					14				
24	23	92	92	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	192									
24	23	91	91	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	193									
25	24	93	93	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	194									
25	24	93	93	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	195									
26	25	97	97	0.0	0	0	StaffText	2/2	1	2	0						"<font size=""9""/><font face=""Times New Roman""/><b>(Geister der Nacht)</b>"						
26	25	97	97	0.0	0	0	StaffText	2/2	1	2	0						"<font size=""13""/><font face=""Times New Roman""/><b>Intermezzo</b>"						
26	25	97	97	0.0	0	0	Spanner	2/2	2	1	0											0	0
26	25	197/2	197/2	0.07142857142857142	3/8	3/8	Chord	2/2	2	1	1/56	1/32	4/7	196					15			0	0
26	25	690/7	690/7	0.07142857142857142	11/28	11/28	Chord	2/2	2	1	1/56	1/32	4/7	197					15			0	0
26	25	1381/14	1381/14	0.07142857142857142	23/56	23/56	Chord	2/2	2	1	1/56	1/32	4/7	198					15			0	0
26	25	691/7	691/7	0.07142857142857142	3/7	3/7	Chord	2/2	2	1	1/56	1/32	4/7	199					15			0	0
26	25	1383/14	1383/14	0.07142857142857142	25/56	25/56	Chord	2/2	2	1	1/56	1/32	4/7	200					15			0	0
26	25	692/7	692/7	0.07142857142857142	13/28	13/28	Chord	2/2	2	1	1/56	1/32	4/7	201					15			0	0
26	25	1385/14	1385/14	0.07142857142857142	27/56	27/56	Chord	2/2	2	1	1/56	1/32	4/7	202								0	0
26	25	201/2	201/2	0.07142857142857142	7/8	7/8	Chord	2/2	2	1	1/56	1/32	4/7	203					16			0	0
26	25	704/7	704/7	0.07142857142857142	25/28	25/28	Chord	2/2	2	1	1/56	1/32	4/7	204					16			0	0
26	25	1409/14	1409/14	0.07142857142857142	51/56	51/56	Chord	2/2	2	1	1/56	1/32	4/7	205					16			0	0
26	25	705/7	705/7	0.07142857142857142	13/14	13/14	Chord	2/2	2	1	1/56	1/32	4/7	206					16			0	0
26	25	1411/14	1411/14	0.07142857142857142	53/56	53/56	Chord	2/2	2	1	1/56	1/32	4/7	207					16			0	0
26	25	706/7	706/7	0.07142857142857142	27/28	27/28	Chord	2/2	2	1	1/56	1/32	4/7	208					16			0	0
26	25	1413/14	1413/14	0.07142857142857142	55/56	55/56	Chord	2/2	2	1	1/56	1/32	4/7	209								0	0
26	25	97	97	0.0	0	0	Dynamic	2/2	2	2	0				pp							0	0
26	25	97	97	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	210								0	0
26	25	99	99	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	211								0	0
27	26	104	104	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	212									
27	26	313/3	313/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	213									
27	26	314/3	314/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	214									
27	26	104	104	0.3333333333333333	3/4	3/4	Chord	2/2	1	2	1/12	1/8	2/3	215									
27	26	313/3	313/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	2	1/12	1/8	2/3	216									
27	26	314/3	314/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	2	1/12	1/8	2/3	217									
27	26	101	101	0.0	0	0	Spanner	2/2	2	1	0												
27	26	101	101	3.0	0	0	Chord	2/2	2	1	3/4	1/2	3/2	218									
28	27	105	105	0.0	0	0	Spanner	2/2	1	1	0										0		
28	27	105	105	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	219							0		
28	27	213/2	213/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	220							0		
28	27	107	107	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	221							0		
28	27	108	108	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	222							0		
